User_id,First_tran_date,Location,Age,Gender
46099758,2020-07-20,Other,33_to_37,MALE
42916049,2018-08-29,Unknown,unknown,FEMALE
31363288,2019-03-13,Other Cities,28_to_32,MALE
424219,2019-09-07,HCMC,33_to_37,MALE
37609169,2019-12-30,Other Cities,23_to_27,FEMALE
51112619,2019-11-26,Other Cities,28_to_32,MALE
1013691,2020-01-24,HCMC,28_to_32,FEMALE
44080459,2020-05-15,Other Cities,18_to_22,FEMALE
50210662,2019-10-25,Unknown,unknown,MALE
14152743,2020-05-18,Other Cities,unknown,MALE
57196579,2020-08-06,Unknown,23_to_27,FEMALE
46061342,2019-02-25,HN,28_to_32,MALE
42909491,2019-04-06,HCMC,23_to_27,MALE
48315976,2019-09-16,Other Cities,23_to_27,FEMALE
40481531,2019-09-21,Other Cities,unknown,MALE
1686941,2018-09-26,Other Cities,unknown,FEMALE
41790765,2019-04-01,HCMC,23_to_27,FEMALE
7465349,2019-12-24,Other Cities,unknown,MALE
49525979,2019-12-06,HCMC,33_to_37,MALE
16005641,2018-03-19,HN,23_to_27,MALE
46043163,2019-03-26,Other Cities,23_to_27,MALE
46473231,2019-03-25,HCMC,>37,MALE
40679826,2019-04-22,HN,33_to_37,MALE
51960706,2020-01-15,HN,33_to_37,MALE
43458853,2019-02-09,HCMC,28_to_32,FEMALE
41833303,2018-09-14,Other Cities,23_to_27,MALE
13731983,2020-01-04,Other Cities,23_to_27,MALE
56189805,2020-05-31,HCMC,33_to_37,MALE
39339167,2020-09-16,HCMC,>37,MALE
35187891,2018-12-13,Other Cities,>37,FEMALE
39716472,2017-08-11,HCMC,23_to_27,FEMALE
57514226,2020-07-30,Unknown,unknown,MALE
51808451,2019-12-18,Other Cities,unknown,FEMALE
34090243,2019-12-05,Other Cities,23_to_27,MALE
36873642,2016-12-21,HN,33_to_37,MALE
39512354,2019-09-28,Other Cities,23_to_27,FEMALE
46915665,2019-12-18,Other Cities,23_to_27,MALE
56138338,2020-05-25,HN,23_to_27,MALE
53516195,2020-02-23,Other Cities,28_to_32,MALE
43149762,2019-04-08,HCMC,23_to_27,FEMALE
54986025,2020-04-02,Other Cities,unknown,MALE
54172176,2020-03-12,Other Cities,23_to_27,MALE
41333879,2019-10-09,Other,23_to_27,FEMALE
35140693,2020-04-23,Other Cities,unknown,FEMALE
50561258,2019-12-19,Other Cities,18_to_22,FEMALE
49816986,2020-02-19,Other,unknown,MALE
26735231,2018-01-08,Other,33_to_37,MALE
57936566,2020-09-09,Other Cities,33_to_37,MALE
52107729,2020-01-09,HCMC,>37,MALE
45128349,2019-12-14,Other Cities,unknown,MALE
48398313,2019-12-11,HCMC,>37,FEMALE
58534913,2020-11-22,HN,unknown,MALE
48091205,2019-07-11,Other Cities,28_to_32,MALE
32713179,2020-08-13,Unknown,18_to_22,FEMALE
1085017,2019-03-23,HCMC,33_to_37,MALE
47593334,2020-03-04,Other Cities,23_to_27,FEMALE
48340954,2019-07-30,HCMC,>37,MALE
32553329,2020-02-25,HCMC,23_to_27,FEMALE
3351415,2020-02-01,Other Cities,18_to_22,MALE
58120876,2020-08-24,Other Cities,unknown,MALE
35800440,2019-08-16,Other Cities,28_to_32,FEMALE
43894507,2019-07-12,HCMC,33_to_37,MALE
51583637,2019-12-12,Other Cities,23_to_27,FEMALE
39873077,2017-09-01,Other Cities,18_to_22,MALE
40157163,2018-03-12,HN,unknown,MALE
50848152,2020-03-10,Other Cities,23_to_27,MALE
43458341,2018-09-25,Unknown,unknown,MALE
39882840,2018-12-27,Other,23_to_27,MALE
47802823,2019-07-29,Other Cities,23_to_27,MALE
44187280,2019-02-28,Other,18_to_22,MALE
37741150,2020-06-17,HCMC,unknown,FEMALE
41274540,2019-03-18,Other Cities,28_to_32,MALE
53364992,2020-04-17,Other Cities,23_to_27,MALE
40123079,2017-12-03,Other Cities,28_to_32,FEMALE
45713375,2019-02-14,Other Cities,33_to_37,MALE
10259154,2018-08-24,Ho Chi Minh City,unknown,MALE
44682468,2019-05-03,HCMC,unknown,FEMALE
19388404,2020-12-31,Other Cities,unknown,MALE
52176035,2020-01-05,Other Cities,unknown,MALE
4081357,2019-07-08,HCMC,23_to_27,MALE
52455102,2020-05-22,Other Cities,unknown,MALE
53482595,2020-02-12,Other Cities,>37,FEMALE
33059107,2016-12-14,HCMC,28_to_32,MALE
53692989,2020-04-02,Unknown,unknown,MALE
50048233,2019-12-06,Other Cities,28_to_32,MALE
45401894,2019-02-25,HN,28_to_32,MALE
56580034,2020-06-17,Other Cities,unknown,MALE
55789348,2020-05-06,HCMC,23_to_27,MALE
50097877,2019-12-10,HCMC,18_to_22,MALE
45244162,2019-04-05,Other Cities,33_to_37,MALE
13586656,2020-01-13,Other Cities,18_to_22,MALE
40575907,2020-09-09,Other Cities,unknown,FEMALE
31284242,2019-08-31,Other Cities,unknown,MALE
45209823,2020-08-11,Other Cities,23_to_27,MALE
34481864,2018-02-11,Other Cities,28_to_32,MALE
54209232,2020-06-10,HN,18_to_22,MALE
46221972,2019-03-07,HN,23_to_27,MALE
51227391,2019-12-20,Other Cities,unknown,MALE
16638977,2020-04-03,Other Cities,>37,MALE
39668530,2017-10-01,Unknown,unknown,MALE
39340639,2017-07-13,HCMC,28_to_32,MALE
34178001,2019-06-21,HCMC,23_to_27,MALE
46986745,2019-07-13,HN,33_to_37,MALE
49361367,2019-09-17,Other Cities,33_to_37,FEMALE
44913715,2019-01-01,Other Cities,>37,FEMALE
49889530,2019-12-27,Other Cities,33_to_37,FEMALE
46880130,2019-04-25,HCMC,33_to_37,MALE
42664938,2018-12-07,HCMC,23_to_27,MALE
30503360,2020-09-04,HCMC,28_to_32,FEMALE
41650727,2018-04-23,HCMC,23_to_27,MALE
50745135,2019-12-25,Other Cities,28_to_32,MALE
53854903,2020-05-04,Other Cities,18_to_22,MALE
47950568,2019-12-11,HCMC,23_to_27,MALE
44148267,2020-03-18,Other Cities,28_to_32,MALE
36515402,2017-01-01,Other Cities,33_to_37,MALE
51872632,2019-12-20,HCMC,18_to_22,MALE
25862637,2019-12-21,Other Cities,unknown,MALE
39322912,2017-06-26,Other Cities,28_to_32,MALE
19785079,2017-12-03,HCMC,23_to_27,MALE
39288141,2018-12-31,HCMC,28_to_32,FEMALE
7089348,2018-01-09,Other Cities,>37,MALE
44504523,2018-12-20,HN,33_to_37,MALE
54154089,2020-03-04,Other Cities,unknown,MALE
52528252,2020-02-01,Other Cities,33_to_37,FEMALE
27532748,2018-06-22,Other Cities,23_to_27,FEMALE
49607641,2019-09-27,Other Cities,unknown,FEMALE
27075333,2020-01-31,HCMC,18_to_22,FEMALE
46291687,2019-05-04,HCMC,33_to_37,MALE
48772066,2020-04-03,Other Cities,23_to_27,MALE
1020897,2019-08-16,HCMC,33_to_37,MALE
51287985,2019-12-07,Other Cities,18_to_22,MALE
40205969,2020-07-15,Other Cities,>37,MALE
47755421,2019-07-03,HCMC,>37,FEMALE
40260099,2019-10-15,HCMC,18_to_22,FEMALE
57024467,2020-07-10,Other,unknown,MALE
56843042,2020-07-01,Other Cities,unknown,MALE
40711059,2018-01-01,Unknown,28_to_32,MALE
46216572,2019-04-22,Other Cities,33_to_37,MALE
33499621,2017-04-17,Other Cities,28_to_32,MALE
4706240,2019-12-05,Other,>37,MALE
45663606,2020-01-02,Other,18_to_22,FEMALE
33245855,2020-09-22,Other Cities,unknown,MALE
44734053,2019-04-30,Other Cities,>37,FEMALE
29829870,2019-08-11,Other Cities,28_to_32,FEMALE
45758123,2019-10-15,HCMC,33_to_37,FEMALE
38724378,2020-03-02,HN,>37,MALE
44956925,2019-01-05,HN,23_to_27,MALE
50847672,2019-12-27,HCMC,18_to_22,MALE
40914676,2019-10-13,HCMC,23_to_27,FEMALE
52431474,2020-01-09,HCMC,unknown,MALE
39914366,2018-11-18,HN,23_to_27,FEMALE
59931360,2020-11-09,Other Cities,unknown,FEMALE
54574514,2020-04-01,Other Cities,23_to_27,MALE
4115977,2019-04-06,HCMC,>37,FEMALE
41065244,2018-03-17,HCMC,33_to_37,MALE
673257,2019-10-05,HCMC,>37,MALE
54438679,2020-03-15,HCMC,unknown,MALE
18563259,2019-02-16,HCMC,33_to_37,MALE
57524259,2020-12-14,HCMC,33_to_37,MALE
55926237,2020-05-13,HN,unknown,MALE
50702272,2019-11-18,HCMC,18_to_22,FEMALE
39839374,2017-10-01,HCMC,28_to_32,FEMALE
54815430,2020-03-26,Other Cities,23_to_27,MALE
41668876,2019-05-22,Other Cities,23_to_27,MALE
40996808,2018-03-28,Other Cities,28_to_32,MALE
42085973,2018-06-01,Other,33_to_37,MALE
44065985,2020-07-27,HN,28_to_32,FEMALE
47967381,2019-10-11,Other Cities,unknown,MALE
58849779,2020-10-06,Other Cities,unknown,MALE
46115530,2020-03-05,Other Cities,28_to_32,MALE
35111466,2016-02-27,HCMC,>37,FEMALE
42726086,2018-08-02,HCMC,18_to_22,MALE
53924590,2020-04-08,Other Cities,33_to_37,MALE
38777108,2018-01-08,HN,28_to_32,MALE
43581321,2018-10-11,HN,28_to_32,MALE
23349908,2019-11-29,Unknown,28_to_32,MALE
22267705,2018-07-19,Other Cities,>37,MALE
45656523,2020-02-22,Other,28_to_32,MALE
60705250,2020-12-04,Other Cities,unknown,FEMALE
44806448,2018-12-26,HCMC,23_to_27,FEMALE
17888043,2019-02-28,Other Cities,33_to_37,MALE
53967151,2020-07-11,HCMC,>37,MALE
45866934,2019-02-28,Other,23_to_27,FEMALE
49547782,2019-09-27,Other Cities,23_to_27,MALE
54659596,2020-04-29,HCMC,23_to_27,FEMALE
26508740,2019-05-20,Unknown,28_to_32,MALE
46569967,2020-05-14,Other Cities,>37,FEMALE
53139380,2020-02-11,Other Cities,23_to_27,FEMALE
48589522,2019-08-16,HCMC,18_to_22,MALE
53365284,2020-02-27,Other Cities,18_to_22,FEMALE
45459574,2020-08-05,Other Cities,unknown,MALE
18272464,2018-04-30,HCMC,unknown,MALE
40143872,2017-10-18,Other Cities,23_to_27,MALE
47802957,2020-02-01,Other,28_to_32,MALE
40626666,2017-12-22,HCMC,23_to_27,MALE
17506143,2020-02-24,Other Cities,28_to_32,FEMALE
51752862,2020-02-10,HN,28_to_32,MALE
15633440,2020-02-29,Other Cities,33_to_37,MALE
11338428,2020-04-20,HCMC,>37,MALE
55175553,2020-07-10,Other Cities,unknown,MALE
44677765,2018-12-28,HCMC,23_to_27,MALE
42662153,2018-07-23,Other Cities,33_to_37,FEMALE
38865727,2017-07-31,Other Cities,unknown,FEMALE
54784606,2020-03-25,Other Cities,23_to_27,FEMALE
54332625,2020-03-19,Unknown,28_to_32,FEMALE
40556993,2017-12-15,Other Cities,28_to_32,FEMALE
3850375,2019-10-13,Other Cities,28_to_32,MALE
49582817,2020-01-14,Other Cities,28_to_32,MALE
35771100,2019-02-16,Other Cities,23_to_27,FEMALE
15036606,2020-01-09,Other Cities,unknown,MALE
58923847,2020-09-26,Unknown,unknown,FEMALE
19048834,2019-01-08,Other Cities,unknown,MALE
2048145,2020-02-26,Other Cities,33_to_37,FEMALE
42434817,2018-12-13,Other Cities,23_to_27,FEMALE
45690131,2020-02-08,HCMC,>37,FEMALE
40584436,2018-12-10,Other Cities,28_to_32,MALE
38893572,2017-05-24,Other,unknown,MALE
59184635,2020-10-06,Other Cities,unknown,FEMALE
48797339,2020-03-18,Other Cities,18_to_22,MALE
49940277,2019-10-14,HCMC,unknown,FEMALE
8161000,2019-02-23,HCMC,33_to_37,MALE
38622596,2018-11-23,Other Cities,23_to_27,FEMALE
53245734,2020-04-02,HCMC,23_to_27,FEMALE
56083909,2020-05-22,HCMC,28_to_32,MALE
41184467,2020-03-28,Other Cities,23_to_27,MALE
1598936,2018-06-30,Other Cities,>37,MALE
38836349,2018-09-27,Other Cities,23_to_27,MALE
5185612,2020-11-20,Other,unknown,MALE
50046908,2019-12-03,Other Cities,18_to_22,MALE
50115549,2020-05-27,Unknown,unknown,FEMALE
49152525,2019-11-12,HCMC,28_to_32,MALE
55085654,2020-08-13,HCMC,18_to_22,FEMALE
40330544,2018-12-05,Other Cities,28_to_32,MALE
49361088,2019-09-17,Other Cities,unknown,MALE
46903973,2019-07-05,Other Cities,28_to_32,FEMALE
42685631,2019-01-23,Other Cities,unknown,MALE
55535617,2020-06-25,Other Cities,28_to_32,MALE
36795953,2017-04-05,Other Cities,23_to_27,MALE
15520750,2020-02-14,HCMC,33_to_37,FEMALE
49346173,2020-04-25,HN,28_to_32,FEMALE
41494314,2018-04-12,Other Cities,23_to_27,MALE
55277547,2020-04-22,HCMC,18_to_22,MALE
50609572,2019-11-08,HCMC,unknown,FEMALE
6926284,2019-12-19,HCMC,28_to_32,MALE
38867301,2017-07-04,HN,28_to_32,MALE
53002352,2020-02-06,Other Cities,>37,MALE
52451874,2020-10-01,Other Cities,>37,MALE
26449655,2020-02-25,Other,33_to_37,MALE
42411018,2020-01-08,Other Cities,18_to_22,FEMALE
43326835,2019-12-14,Unknown,28_to_32,MALE
46476945,2019-03-26,HCMC,23_to_27,FEMALE
47644846,2019-07-09,HCMC,>37,MALE
56177717,2020-05-27,Other Cities,unknown,FEMALE
43576445,2020-01-28,HCMC,23_to_27,FEMALE
34189587,2017-07-07,HCMC,28_to_32,MALE
25048232,2017-11-23,HCMC,23_to_27,MALE
700692,2019-07-10,Other Cities,unknown,FEMALE
22425666,2020-11-08,Other Cities,28_to_32,MALE
57942912,2020-08-17,Other Cities,unknown,MALE
49504325,2020-01-27,HCMC,18_to_22,MALE
42128627,2018-06-22,Other Cities,28_to_32,MALE
48651043,2019-08-14,Other,unknown,FEMALE
38919157,2018-12-20,HN,28_to_32,MALE
48514759,2020-03-09,HN,unknown,MALE
50985476,2019-12-17,Other Cities,18_to_22,MALE
55192412,2020-04-15,Unknown,28_to_32,MALE
14846605,2020-03-17,Other Cities,unknown,FEMALE
54822857,2020-03-27,Other Cities,23_to_27,MALE
44643260,2018-12-17,Other Cities,unknown,FEMALE
52770127,2020-03-12,Other Cities,18_to_22,MALE
41851200,2018-05-18,Other,28_to_32,FEMALE
33893957,2016-09-23,Other Cities,33_to_37,MALE
53292636,2020-02-09,HCMC,28_to_32,MALE
52244973,2020-01-03,Other,33_to_37,FEMALE
42509536,2018-07-17,HN,33_to_37,FEMALE
44662096,2018-12-18,Other Cities,23_to_27,MALE
49117421,2019-10-26,HCMC,23_to_27,FEMALE
49217506,2019-10-19,Other Cities,23_to_27,FEMALE
50572508,2019-11-30,HCMC,23_to_27,MALE
38894351,2020-02-18,Other,23_to_27,MALE
42455837,2020-01-10,HCMC,33_to_37,MALE
35134954,2018-06-21,Other Cities,33_to_37,MALE
41795265,2020-02-25,HCMC,23_to_27,MALE
40047649,9918-01-01,HCMC,23_to_27,MALE
40968697,2018-02-08,Other Cities,28_to_32,MALE
40653881,2018-08-29,Other Cities,28_to_32,FEMALE
29693152,2019-11-05,Other Cities,28_to_32,MALE
43064220,2018-08-27,Other Cities,28_to_32,FEMALE
44281390,2018-12-30,Other Cities,unknown,MALE
38991899,2017-11-30,HCMC,23_to_27,MALE
3539312,2019-12-24,HCMC,33_to_37,MALE
54063602,2020-03-01,Other,28_to_32,MALE
9312891,2017-04-21,HCMC,28_to_32,FEMALE
39768974,2020-04-18,HCMC,23_to_27,FEMALE
49361494,2020-01-27,HCMC,23_to_27,MALE
47881438,2019-08-01,HCMC,>37,MALE
44207346,2019-09-16,Unknown,unknown,MALE
42738013,2018-08-10,Other,>37,MALE
56126013,2020-05-24,Other Cities,28_to_32,MALE
41950838,2020-01-09,HCMC,18_to_22,MALE
42290253,2018-06-20,Other Cities,23_to_27,MALE
41562026,2018-04-13,Unknown,23_to_27,FEMALE
44003711,2018-11-07,HCMC,23_to_27,FEMALE
8155564,2018-06-03,Other Cities,28_to_32,FEMALE
26667924,2019-08-21,Other Cities,23_to_27,MALE
51459688,2019-12-06,HN,18_to_22,MALE
25738169,2020-04-23,Other Cities,28_to_32,MALE
22007639,2019-06-14,Unknown,unknown,MALE
52056530,2020-07-01,Other Cities,unknown,FEMALE
46065970,2019-04-23,Other,18_to_22,MALE
32239701,2020-05-01,Unknown,unknown,MALE
48669742,2019-09-26,HCMC,33_to_37,MALE
40659148,2018-03-20,Other Cities,28_to_32,MALE
26145041,2019-03-19,HCMC,unknown,MALE
46360404,2020-02-20,HN,23_to_27,MALE
55900384,2020-05-19,HCMC,33_to_37,FEMALE
48142646,2020-03-27,Other Cities,18_to_22,FEMALE
36645617,2018-09-13,HCMC,23_to_27,FEMALE
45369718,2019-12-29,HCMC,23_to_27,MALE
48751829,2020-07-21,Other Cities,>37,FEMALE
39816433,2017-08-30,HCMC,23_to_27,MALE
166795,2019-09-18,HN,18_to_22,FEMALE
40983796,2018-11-21,Other,23_to_27,MALE
7218084,2018-11-16,Other Cities,>37,FEMALE
45769886,2019-04-11,Other Cities,unknown,MALE
43423488,2018-11-16,Unknown,unknown,MALE
53571852,2020-03-11,Other Cities,28_to_32,MALE
6242293,2019-10-06,HCMC,18_to_22,FEMALE
40818261,2018-02-27,HN,28_to_32,FEMALE
52449727,2020-02-10,Other Cities,28_to_32,FEMALE
47094618,2020-02-19,Other Cities,28_to_32,FEMALE
21738274,2017-05-18,HCMC,28_to_32,FEMALE
40269292,2020-01-18,Other Cities,unknown,FEMALE
39871427,2017-09-04,HN,23_to_27,MALE
52852418,2020-01-28,Other Cities,>37,MALE
27404052,2018-11-20,HCMC,23_to_27,FEMALE
29333244,2018-10-24,Other Cities,23_to_27,MALE
52146002,2020-09-08,Other Cities,unknown,MALE
48110610,2019-07-21,Other Cities,23_to_27,MALE
50813741,2020-02-23,Other Cities,28_to_32,MALE
53552639,2020-07-20,Other Cities,>37,MALE
43600289,2020-03-07,Other Cities,23_to_27,MALE
50738874,2019-11-14,Other Cities,18_to_22,FEMALE
57331379,2020-07-24,Other Cities,28_to_32,FEMALE
3373534,2020-08-17,Other Cities,unknown,MALE
45766069,2019-11-19,HN,18_to_22,FEMALE
47936374,2019-07-10,HCMC,28_to_32,MALE
43813187,2019-10-31,Other Cities,18_to_22,MALE
46854462,2019-12-11,HCMC,23_to_27,MALE
52625738,2020-01-16,Other,18_to_22,MALE
58492267,2020-09-10,HCMC,23_to_27,FEMALE
3034320,2019-11-08,Other Cities,18_to_22,MALE
51507896,2019-12-08,HN,23_to_27,MALE
23813718,2017-06-30,HCMC,28_to_32,MALE
29862147,2016-07-05,HCMC,28_to_32,FEMALE
53856112,2020-05-13,Other Cities,18_to_22,MALE
47678055,2019-11-03,HCMC,18_to_22,FEMALE
25625045,2018-11-06,Unknown,unknown,MALE
51516476,2019-12-23,Other Cities,23_to_27,MALE
45786505,2019-08-17,HCMC,18_to_22,MALE
46383556,2019-08-15,HCMC,unknown,FEMALE
36102827,2018-06-28,HCMC,33_to_37,MALE
20769143,2019-07-04,Other Cities,28_to_32,FEMALE
36535040,2019-09-18,HCMC,23_to_27,FEMALE
2274807,2019-11-27,Unknown,unknown,FEMALE
25091838,2020-02-28,HCMC,unknown,FEMALE
57014804,2020-07-09,Other Cities,unknown,MALE
41470906,2018-04-24,Other Cities,23_to_27,MALE
54248680,2020-03-09,Other,23_to_27,MALE
45930486,2019-07-15,HN,23_to_27,MALE
49512570,2019-09-23,HCMC,unknown,MALE
46336279,2019-04-03,HCMC,unknown,FEMALE
56473179,2020-07-31,Other Cities,18_to_22,MALE
22922914,2020-02-28,HCMC,23_to_27,FEMALE
40260466,2017-11-10,HCMC,23_to_27,FEMALE
38632375,2017-04-21,HN,33_to_37,MALE
44394705,2019-09-05,HCMC,23_to_27,MALE
45115099,2019-11-20,HCMC,18_to_22,MALE
11185847,2019-07-14,Other Cities,unknown,MALE
39115927,2018-08-18,Other Cities,28_to_32,MALE
6647005,2020-03-22,Other,unknown,MALE
9528517,2019-03-23,HCMC,33_to_37,MALE
32862255,2018-06-06,Other Cities,28_to_32,MALE
41674029,2018-11-04,HN,>37,MALE
43928225,2019-05-30,HN,unknown,MALE
39244584,2020-04-04,Other Cities,>37,FEMALE
48235646,2019-07-31,HCMC,28_to_32,MALE
18133413,2019-10-12,Other Cities,33_to_37,MALE
41668244,2018-06-21,HCMC,>37,FEMALE
8262835,2017-12-29,Other Cities,28_to_32,FEMALE
57239554,2020-07-21,Other Cities,unknown,MALE
54091643,2020-03-07,HN,unknown,MALE
37739771,2019-02-28,HN,>37,MALE
12133580,2019-12-26,Other Cities,23_to_27,MALE
51718311,2019-12-15,HCMC,23_to_27,FEMALE
43030328,2018-08-24,Other Cities,23_to_27,FEMALE
37263029,2018-08-21,HCMC,23_to_27,MALE
43668143,2018-10-09,Other Cities,33_to_37,MALE
51781662,2020-09-23,HN,unknown,FEMALE
37376220,2017-02-28,Ho Chi Minh City,23_to_27,MALE
42613468,2018-07-19,Unknown,28_to_32,FEMALE
46911059,2019-04-25,Other,unknown,FEMALE
19538754,2016-12-18,HCMC,28_to_32,FEMALE
42546781,2019-03-19,HCMC,unknown,MALE
53231655,2020-04-10,Other Cities,23_to_27,MALE
39843032,2017-09-10,Unknown,28_to_32,MALE
36799091,2018-07-05,Unknown,23_to_27,MALE
59403363,2020-10-15,Other Cities,unknown,MALE
47894672,2019-08-01,HCMC,>37,MALE
49117943,2019-09-03,Other Cities,23_to_27,FEMALE
42385046,2019-02-22,HCMC,28_to_32,MALE
50411033,2020-04-23,HCMC,23_to_27,MALE
40077417,9917-10-05,HCMC,28_to_32,FEMALE
49160733,2020-01-04,HCMC,18_to_22,MALE
56516717,2020-06-13,Other Cities,23_to_27,MALE
49689803,2019-10-01,Other Cities,23_to_27,FEMALE
35698491,2016-09-15,HN,>37,MALE
46845953,2019-04-21,Other,23_to_27,MALE
31803366,2019-05-14,HN,unknown,FEMALE
45745531,2020-02-07,HCMC,23_to_27,MALE
39015822,2017-10-16,Other Cities,28_to_32,FEMALE
46697179,2019-04-11,HCMC,unknown,MALE
52905305,2020-02-13,Other Cities,23_to_27,MALE
48075538,2019-07-10,Other Cities,unknown,FEMALE
43526774,2018-10-23,Other Cities,28_to_32,MALE
52751805,2020-01-21,Other Cities,18_to_22,MALE
38383370,2017-03-26,HCMC,23_to_27,FEMALE
60258827,2020-11-17,Other Cities,unknown,FEMALE
46045362,2020-01-22,HN,unknown,FEMALE
44135297,2018-12-21,HCMC,>37,MALE
41148660,2018-02-22,Other Cities,>37,FEMALE
44288717,2019-12-28,HN,18_to_22,FEMALE
48752241,2020-07-22,Other Cities,unknown,FEMALE
15146933,2020-10-28,Other Cities,28_to_32,MALE
36164302,2017-06-16,HCMC,unknown,MALE
54981357,2020-09-20,HCMC,18_to_22,MALE
28935623,2018-02-02,Other Cities,28_to_32,MALE
34416905,2016-06-10,Other Cities,18_to_22,MALE
45604074,2019-02-10,Other Cities,28_to_32,FEMALE
31121563,2019-05-15,HCMC,28_to_32,MALE
35015412,2016-11-16,HCMC,28_to_32,FEMALE
36743310,2016-12-07,Other,23_to_27,FEMALE
49154307,2019-09-16,Unknown,unknown,FEMALE
42857121,2020-04-29,Other Cities,28_to_32,MALE
5072072,2019-08-20,Other Cities,23_to_27,MALE
26798462,2019-03-01,Other Cities,23_to_27,FEMALE
47021751,2020-02-29,Other,28_to_32,FEMALE
49544986,2019-10-21,HCMC,23_to_27,MALE
45880561,2019-11-23,Other,23_to_27,MALE
56806630,2020-10-26,Other Cities,23_to_27,MALE
20788364,2020-07-23,Other,unknown,MALE
48990796,2020-03-15,Other Cities,23_to_27,MALE
59313368,2020-10-11,Other Cities,unknown,FEMALE
49141032,2020-07-20,HCMC,33_to_37,FEMALE
55215367,2020-04-14,HCMC,18_to_22,MALE
41880003,2018-08-24,Other Cities,23_to_27,MALE
55681341,2020-04-30,Unknown,28_to_32,FEMALE
54478908,2020-05-02,Other Cities,unknown,FEMALE
46261275,2020-08-21,HCMC,28_to_32,FEMALE
54235223,2020-06-19,Other Cities,unknown,MALE
44434491,2019-10-10,Unknown,28_to_32,FEMALE
40493989,2017-12-05,HCMC,28_to_32,MALE
39100459,2017-08-04,Other,23_to_27,MALE
57085040,2020-07-14,HCMC,33_to_37,MALE
42116379,2019-01-14,Ho Chi Minh City,18_to_22,MALE
49923124,2019-10-22,Other Cities,18_to_22,FEMALE
13036479,2019-11-03,Other Cities,unknown,MALE
5095902,2019-07-31,Other Cities,23_to_27,MALE
56356953,2020-10-10,HCMC,33_to_37,FEMALE
50754059,2020-04-02,Other Cities,28_to_32,MALE
52120211,2019-12-28,HCMC,>37,MALE
34004353,2018-03-30,HCMC,23_to_27,MALE
50144936,2019-12-02,Unknown,18_to_22,MALE
58244768,2020-08-30,HCMC,33_to_37,FEMALE
41404244,2018-06-13,Other Cities,23_to_27,MALE
36105910,2017-08-30,HCMC,28_to_32,MALE
35005029,2016-02-08,HCMC,23_to_27,FEMALE
53895270,2020-02-23,Other Cities,unknown,MALE
47071070,2020-02-10,HCMC,unknown,FEMALE
43044752,2018-08-25,Other Cities,unknown,MALE
20183895,2019-08-07,Other Cities,>37,FEMALE
39697377,2020-03-11,Other Cities,33_to_37,FEMALE
16785391,2020-08-06,Other Cities,unknown,MALE
6525192,2018-02-11,Other Cities,23_to_27,MALE
42501148,2018-07-09,HCMC,28_to_32,FEMALE
42313631,2020-04-22,Other Cities,28_to_32,MALE
49643101,2019-09-29,Other Cities,18_to_22,FEMALE
57637402,2020-10-05,HCMC,23_to_27,FEMALE
33919320,2017-08-05,HCMC,28_to_32,MALE
47490095,2019-11-25,Other Cities,33_to_37,MALE
47385553,2019-12-21,HCMC,18_to_22,FEMALE
37742792,2020-02-10,HCMC,33_to_37,MALE
54388866,2020-03-13,Unknown,unknown,FEMALE
27247779,2020-01-13,Unknown,23_to_27,FEMALE
43162483,2018-09-29,Other Cities,33_to_37,MALE
45990828,2019-07-06,Unknown,unknown,FEMALE
